Name,Latitude,Longitude,Type,State,Governor
Sandow Lakes Energy Plant,30.65,-96.98,Natural Gas Power Plant,Texas,Greg Abbott
IKO Granule Facility,37.767,-90.62,Granule Manufacturing,Missouri,Mike Kehoe
Superior Glove Manufacturing Facility,35.97,-79.99,Safety Gloves and Sleeves,North Carolina,Josh Stein
Greenville Manufacturing Facility,37.2,-87.15,Agricultural Equipment,Kentucky,Andy Beshear
Il Pastaio Manufacturing Facility,41.05,-76.92,Pasta Production,Pennsylvania,Josh Shapiro
Leprino Foods Manufacturing Facility,33.58,-101.85,Dairy Products,Texas,Greg Abbott
Nestlé Beverage Factory,33.58,-112.25,Beverage Production,Arizona,Katie Hobbs
Holtsville Energy Storage Project,40.815,-73.045,Battery Energy Storage,New York,Kathy Hochul
Hyundai Metaplant,32.08,-81.09,Electric Vehicle Manufacturing,Georgia,Brian Kemp
TSMC Semiconductor Fab,33.45,-112.07,Semiconductor Manufacturing,Arizona,Katie Hobbs
Samsung Semiconductor Plant,30.57,-97.41,Semiconductor Manufacturing,Texas,Greg Abbott
Hanwha Manufacturing Facility,30.65,-97.68,Solar Equipment Manufacturing,Texas,Greg Abbott
Soulbrain Semiconductor Plant,30.57,-97.41,Semiconductor Materials,Texas,Greg Abbott
Hanyang ENG USA Headquarters,30.51,-97.82,Engineering Services,Texas,Greg Abbott
Ultium Cells Plant,40.85,-81.38,Battery Manufacturing,Ohio,Mike DeWine
Advanced Clean Energy Storage,39.35,-112.57,Hydrogen Energy Storage,Utah,Spencer Cox
Siemens Manufacturing Facility,32.75,-97.33,Electrical Products,Texas,Greg Abbott
Tesla Facility,30.54,-97.55,Electric Vehicle Manufacturing,Texas,Greg Abbott
Rivian Manufacturing Plant,34.05,-84.07,Electric Vehicle Manufacturing,Georgia,Brian Kemp
VinFast Manufacturing Plant,35.91,-78.78,Electric Vehicle Manufacturing,North Carolina,Josh Stein
Dow and X-energy Nuclear Project,28.4,-96.78,Nuclear Reactor,Texas,Greg Abbott
Meta AI Data Center,32.45,-91.75,Data Center,Louisiana,Jeff Landry
TSMC Semiconductor Fabs,33.45,-112.07,Semiconductor Manufacturing,Arizona,Katie Hobbs
Homer City Data Center Campus,40.54,-79.16,Data Center,Pennsylvania,Josh Shapiro
Apple AI Server Manufacturing Facility,29.76,-95.37,Server Manufacturing,Texas,Greg Abbott
BlueOval City,35.45,-89.42,Electric Vehicle Manufacturing,Tennessee,Bill Lee
Toyota Battery Manufacturing North Carolina,35.95,-79.77,Battery Manufacturing,North Carolina,Josh Stein
Ecor Global Manufacturing Facility,29.26,-98.33,Eco-friendly Panel Manufacturing,Texas,Greg Abbott
Texas LNG Project,25.93,-97.48,LNG Export Terminal,Texas,Greg Abbott
Hyundai Steel Plant,30.1,-91.0,Steel Production,Louisiana,Jeff Landry
Eli Lilly Pharmaceutical Plant,40.28,-86.51,Pharmaceutical Manufacturing,Indiana,Mike Braun
Johnson & Johnson Manufacturing Plant,35.72,-78.0,Pharmaceutical Manufacturing,North Carolina,Josh Stein
Samsung Semiconductor Facility,30.57,-97.41,Semiconductor Manufacturing,Texas,Greg Abbott
